target,target_col,horizon,signal,regime,term,coefficient,t_value,p_value
PCE,pce_target_3,3,jolts,pre,log_jolts_ratio,-0.35210721015675034,-1.043736132848217,0.296607487649026
PCE,pce_target_3,3,jolts,post,log_jolts_ratio,2.0672661589338226e-05,346511222472.0894,0.0
PCE,pce_target_3,3,unemployment,pre,unemployment_rate,0.2345078231948759,2.019769070291328,0.043407346804190325
PCE,pce_target_3,3,unemployment,post,unemployment_rate,0.19716388651994832,798334903217809.2,0.0
PCE,pce_target_3,3,quits,pre,quits_rate,-0.2896853356586198,-0.37938855107706937,0.7043993511370472
PCE,pce_target_3,3,quits,post,quits_rate,0.13988312777296785,941393354049074.4,0.0
PCE,pce_target_3,3,fed_funds,pre,fed_funds,0.10611066021799406,0.9840016872532268,0.32511468330717663
PCE,pce_target_3,3,fed_funds,post,fed_funds,0.33324255800285546,1253261050897285.5,0.0
PCE,pce_target_3,3,lagged_target,pre,pce_target_3_lag,0.7766479645373857,6.313133585673304,2.7344126658689647e-10
PCE,pce_target_3,3,lagged_target,post,pce_target_3_lag,0.16489641705104274,747715914597234.1,0.0
PCE,pce_target_6,6,jolts,pre,log_jolts_ratio,0.13589779418696052,0.7547898093277423,0.45037510937550584
PCE,pce_target_6,6,jolts,post,log_jolts_ratio,0.9289212661546102,0.9962416078358926,0.319132767565104
PCE,pce_target_6,6,unemployment,pre,unemployment_rate,-0.00822660946454358,-0.21314568378665877,0.8312133327392321
PCE,pce_target_6,6,unemployment,post,unemployment_rate,-1.3707191680793471,-2.6806526357138623,0.007347874577896312
PCE,pce_target_6,6,quits,pre,quits_rate,0.017751862876379088,0.07484786891234296,0.9403357547201537
PCE,pce_target_6,6,quits,post,quits_rate,0.835345591012711,1.4081625527886992,0.15908294195047523
PCE,pce_target_6,6,fed_funds,pre,fed_funds,0.05488267853046638,1.3938331453289214,0.1633679965296062
PCE,pce_target_6,6,fed_funds,post,fed_funds,-0.31103259838070607,-4.810689578840461,1.5041046309783347e-06
PCE,pce_target_6,6,lagged_target,pre,pce_target_6_lag,0.8634045279743319,14.78209725997354,1.9112098517782396e-49
PCE,pce_target_6,6,lagged_target,post,pce_target_6_lag,0.9626519567696592,23.536956441646975,1.707553947283744e-122
PCE,pce_target_12,12,jolts,pre,log_jolts_ratio,0.19539658309201552,3.299870246024527,0.0009672954008200959
PCE,pce_target_12,12,jolts,post,log_jolts_ratio,-1.9496218535204122,-4.725903581633482,2.2909433980457534e-06
PCE,pce_target_12,12,unemployment,pre,unemployment_rate,-0.05391407683516166,-2.7803561025972856,0.005429931859021808
PCE,pce_target_12,12,unemployment,post,unemployment_rate,0.668849737876466,8.527450162302658,1.4960874797085568e-17
PCE,pce_target_12,12,quits,pre,quits_rate,0.5255714861087131,4.7353816415173755,2.186432734559249e-06
PCE,pce_target_12,12,quits,post,quits_rate,-1.9070054638784129,-2.780205528073692,0.005432450415931635
PCE,pce_target_12,12,fed_funds,pre,fed_funds,-0.05775653424166157,-3.7066699097312066,0.00021000236515999687
PCE,pce_target_12,12,fed_funds,post,fed_funds,0.3837715665296153,2.861140833188201,0.004221194931082876
PCE,pce_target_12,12,lagged_target,pre,pce_target_12_lag,0.9199672601988169,18.663594069355273,9.79183424814226e-78
PCE,pce_target_12,12,lagged_target,post,pce_target_12_lag,0.9135087167024609,19.73576322159168,1.0632903196807975e-86
