target,target_col,horizon,model,params_json,fold,rmse,mae,oos_r2_vs_persistence,row_count,train_end,test_start,test_end
Wage,wage_target_3,3,Huber,"{""alpha"": 1e-05, ""epsilon"": 1.1}",1,0.7003269228487056,0.5372545904763375,-0.5572856601330525,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Huber,"{""alpha"": 1e-05, ""epsilon"": 1.1}",2,0.7501907719122416,0.6221264776925607,-0.33509483032887544,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Huber,"{""alpha"": 1e-05, ""epsilon"": 1.1}",3,0.9202067802353152,0.8290364876881028,-1.1315919066062454,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Huber,"{""alpha"": 1e-05, ""epsilon"": 1.1}",4,0.7314535093708738,0.5956612396264738,0.5409982260308657,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,Huber,"{""alpha"": 1e-05, ""epsilon"": 1.35}",1,0.7472703811746486,0.5683054894511843,-0.7730548775167505,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Huber,"{""alpha"": 1e-05, ""epsilon"": 1.35}",2,0.9130550287184204,0.7768060241052787,-0.9777098862743794,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Huber,"{""alpha"": 1e-05, ""epsilon"": 1.35}",3,0.9002120001491565,0.8008810879568066,-1.0399653967943499,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Huber,"{""alpha"": 1e-05, ""epsilon"": 1.35}",4,0.7918422304136973,0.6539720509379143,0.4620793361501434,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,Huber,"{""alpha"": 1e-05, ""epsilon"": 1.5}",1,0.7637015312063111,0.593828500491682,-0.8518847805313716,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Huber,"{""alpha"": 1e-05, ""epsilon"": 1.5}",2,0.9117967603110874,0.7762000028215063,-0.9722627333340796,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Huber,"{""alpha"": 1e-05, ""epsilon"": 1.5}",3,0.9169044089758006,0.8167408292548205,-1.1163199548624942,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Huber,"{""alpha"": 1e-05, ""epsilon"": 1.5}",4,0.8118259017183239,0.673995315041102,0.43458579470351755,27,2017-02-01,2017-03-01,2019-05-01
