target,target_col,horizon,model,test_end,rmse,mae,oos_r2,fold_count
Wage,wage_target_6,6,GradientBoosting,2023-12-01,0.40907345597430084,0.4090096994710306,0.41137167550009757,1
Wage,wage_target_6,6,GradientBoosting,2024-05-01,0.19747757678478012,0.19279165342802163,-0.273570677206314,1
Wage,wage_target_6,6,GradientBoosting,2025-03-01,0.9177372478042968,0.7046891967551825,-1.4525788497340346,1
Wage,wage_target_6,6,GradientBoosting,2025-09-01,0.27120788166478804,0.2702444928533436,0.5586287252660566,1
Wage,wage_target_6,6,Huber,2023-07-01,0.9844119733134828,0.7992362904635859,-1.520264931096552,1
Wage,wage_target_6,6,Huber,2023-12-01,0.4049773093019257,0.38391113710375935,0.42310079861076744,1
Wage,wage_target_6,6,Huber,2024-05-01,0.2902711011287382,0.2875605557605514,-1.7516619169738217,1
Wage,wage_target_6,6,Huber,2025-03-01,0.49862592927220883,0.38920908283591915,0.2760043131082417,1
Wage,wage_target_6,6,Huber,2025-09-01,0.151941607395934,0.14936728817271905,0.8614671129933544,1
Wage,wage_target_6,6,OLS,2023-07-01,0.8646334957481041,0.6727945718929964,-0.9442698147393052,1
Wage,wage_target_6,6,OLS,2023-12-01,0.35155438590686144,0.3312490788588638,0.5652660096225857,1
Wage,wage_target_6,6,OLS,2024-05-01,0.20509647438293205,0.20303690401434915,-0.3737378432829386,1
Wage,wage_target_6,6,OLS,2025-03-01,0.4788614567606381,0.4133655962636571,0.3322621010106007,1
Wage,wage_target_6,6,OLS,2025-09-01,0.0935483573786157,0.08841961364887951,0.9474864009257864,1
Wage,wage_target_6,6,Persistence,2023-07-01,0.6200886599950558,0.4799015180356745,0.0,1
Wage,wage_target_6,6,Persistence,2023-12-01,0.5331884359956064,0.5331395222247788,0.0,1
Wage,wage_target_6,6,Persistence,2024-05-01,0.174987192666464,0.16968130685497407,0.0,1
Wage,wage_target_6,6,Persistence,2025-03-01,0.5860124856185557,0.5226500831589043,0.0,1
Wage,wage_target_6,6,Persistence,2025-09-01,0.4082256357273016,0.4075862368940084,0.0,1
Wage,wage_target_6,6,RandomForest,2023-07-01,0.7864062124163036,0.6813444442317242,-0.6083712188752692,1
Wage,wage_target_6,6,RandomForest,2023-12-01,0.41487410045716705,0.4148112355141409,0.39455986928329934,1
Wage,wage_target_6,6,RandomForest,2024-05-01,0.49413390484347847,0.4922799449648396,-6.974010078048839,1
Wage,wage_target_6,6,RandomForest,2025-03-01,0.7643194980311101,0.5489721240539058,-0.7011246549222763,1
Wage,wage_target_6,6,RandomForest,2025-09-01,0.42610804461703494,0.42549551881049497,-0.08952931227741345,1
Wage,wage_target_6,6,Ridge,2023-07-01,0.6583407623676432,0.5031747445461934,-0.12718165971182094,1
Wage,wage_target_6,6,Ridge,2023-12-01,0.21613201298761686,0.19340163846078773,0.8356851732064893,1
Wage,wage_target_6,6,Ridge,2024-05-01,0.22781100848661975,0.22609721448882603,-0.6948719244472701,1
Wage,wage_target_6,6,Ridge,2025-03-01,0.5574376203181466,0.45223603905005305,0.09514537287567426,1
Wage,wage_target_6,6,Ridge,2025-09-01,0.20223459294444363,0.20103287590598073,0.7545797792701203,1
Wage,wage_target_12,12,ElasticNet,2024-10-01,1.3002422235122455,1.2667870116475324,-41.340910303914114,1
Wage,wage_target_12,12,GradientBoosting,2024-10-01,0.703549062687432,0.7017449159972253,-11.396538637817311,1
Wage,wage_target_12,12,Huber,2024-10-01,0.4348704473043066,0.40236576285457043,-3.736215459229456,1
Wage,wage_target_12,12,OLS,2024-10-01,0.6438251201386717,0.6184873452569735,-9.381198514359486,1
Wage,wage_target_12,12,Persistence,2024-10-01,0.19982239943318045,0.19337433861508657,0.0,1
Wage,wage_target_12,12,RandomForest,2024-10-01,0.6927806160875022,0.6909483523000599,-11.01996259403309,1
Wage,wage_target_12,12,Ridge,2024-10-01,0.6418886549197391,0.611551861175905,-9.318844321957105,1
