model_name,target_name,fold_name,rmse_value,mae_value,row_count
Ridge,price_target_6,5,2.3335741910924717,2.011648134822735,47
ElasticNet,price_target_6,5,2.745173855167687,2.444764504601409,47
ARIMAX,price_target_6,5,3.616727325088533,3.1903670686363075,47
Persistence,wage_target_0,1,0.25149522877122543,0.21908731776636683,36
OLS,wage_target_0,1,0.2650501243907271,0.20916571841691958,36
Ridge,wage_target_0,1,0.2674656126203529,0.21323813593936883,36
ElasticNet,wage_target_0,1,0.19096056433290373,0.15037189527501735,36
ARIMAX,wage_target_0,1,0.2371308671748577,0.19260649692996332,36
Persistence,wage_target_0,2,0.3077261231493619,0.24870509273440503,36
OLS,wage_target_0,2,0.19660143654138842,0.15422387857775094,36
Ridge,wage_target_0,2,0.13461211187157276,0.1067880405914568,36
ElasticNet,wage_target_0,2,0.1395198116051143,0.11628836466391072,36
ARIMAX,wage_target_0,2,0.2568753618450178,0.2123623095693362,36
Persistence,wage_target_0,3,0.5308995966286295,0.44449301527274987,36
OLS,wage_target_0,3,0.28692091785308715,0.1693945031849875,36
Ridge,wage_target_0,3,0.171366546219915,0.12242562858930309,36
ElasticNet,wage_target_0,3,0.18358464774100788,0.1422678661739312,36
ARIMAX,wage_target_0,3,0.2418229707630791,0.1537739168730876,36
Persistence,wage_target_0,4,1.7928270580367203,1.653138058516313,36
OLS,wage_target_0,4,1.6807100331722067,1.3837485292152882,36
Ridge,wage_target_0,4,1.587791899345446,1.2726058239224767,36
ElasticNet,wage_target_0,4,1.2586765663938653,0.8312733009389336,36
ARIMAX,wage_target_0,4,1.4925051320615927,1.1740074370339775,36
Persistence,wage_target_0,5,0.5929335506378771,0.5359184080803666,36
OLS,wage_target_0,5,0.8945948665589478,0.7610966585190388,36
Ridge,wage_target_0,5,0.7139648806349537,0.6068446267649391,36
ElasticNet,wage_target_0,5,0.16340210384506423,0.13457261622832578,36
ARIMAX,wage_target_0,5,2.519366357220434,2.252991756436146,36
Persistence,wage_target_12,1,0.36486354363256907,0.33863249828683484,34
OLS,wage_target_12,1,0.18745452691295775,0.14690735423482934,34
Ridge,wage_target_12,1,0.18851180961960184,0.15569692520306497,34
ElasticNet,wage_target_12,1,0.19996165606212313,0.16696579989716276,34
ARIMAX,wage_target_12,1,0.19761607471202372,0.15125481570620258,34
Persistence,wage_target_12,2,0.42235774678284416,0.38241713459570414,34
OLS,wage_target_12,2,0.19137820879642445,0.15881821763333087,34
Ridge,wage_target_12,2,0.14239092014804305,0.11391572314487362,34
ElasticNet,wage_target_12,2,0.1734362113023424,0.13802659823614177,34
ARIMAX,wage_target_12,2,0.1357744642173392,0.11081591254630925,34
Persistence,wage_target_12,3,1.243989322853449,0.7016117730390667,34
OLS,wage_target_12,3,1.0953091442483456,0.5449917647465157,34
Ridge,wage_target_12,3,1.046632341873342,0.49268844402122164,34
ElasticNet,wage_target_12,3,1.069556363609971,0.5312741293540671,34
ARIMAX,wage_target_12,3,1.0735318480468619,0.538386417197233,34
Persistence,wage_target_12,4,0.9396148215342163,0.5657581573952197,34
