target,target_col,horizon,model,regime,rmse,mae,oos_r2,row_count,train_end,test_start,test_end,fold_id
CPI,cpi_target_6,6,Huber,post,1.0408787976810259,1.0408787976810259,-1.9377455376145725,1,2024-03-01,2024-05-01,2024-05-01,2
CPI,cpi_target_6,6,RandomForest,post,1.0352464216231336,1.0352464216231336,-1.9060382539096903,1,2024-03-01,2024-05-01,2024-05-01,2
CPI,cpi_target_6,6,GradientBoosting,post,1.0907070651274093,1.0907070651274093,-2.225745525089062,1,2024-03-01,2024-05-01,2024-05-01,2
CPI,cpi_target_6,6,Persistence,post,0.2680913271131402,0.2680913271131402,0.0,1,2024-05-01,2024-12-01,2024-12-01,3
CPI,cpi_target_6,6,OLS,post,0.2188165270151119,0.2188165270151119,0.33381521071891396,1,2024-05-01,2024-12-01,2024-12-01,3
CPI,cpi_target_6,6,Ridge,post,0.31075462735997084,0.31075462735997084,-0.34359902339640147,1,2024-05-01,2024-12-01,2024-12-01,3
CPI,cpi_target_6,6,ElasticNet,post,0.16469269506518458,0.16469269506518458,0.6226162950415444,1,2024-05-01,2024-12-01,2024-12-01,3
CPI,cpi_target_6,6,Huber,post,0.05817664077371809,0.05817664077371809,0.9529096680156297,1,2024-05-01,2024-12-01,2024-12-01,3
CPI,cpi_target_6,6,RandomForest,post,0.678205476936308,0.678205476936308,-5.399662279628837,1,2024-05-01,2024-12-01,2024-12-01,3
CPI,cpi_target_6,6,GradientBoosting,post,0.7020001329981791,0.7020001329981791,-5.856600715618463,1,2024-05-01,2024-12-01,2024-12-01,3
CPI,cpi_target_6,6,Persistence,post,0.1646083195659287,0.1646083195659287,0.0,1,2024-12-01,2025-08-01,2025-08-01,4
CPI,cpi_target_6,6,OLS,post,0.6357084370068868,0.6357084370068868,-13.914626704797067,1,2024-12-01,2025-08-01,2025-08-01,4
CPI,cpi_target_6,6,Ridge,post,0.3422531942606786,0.3422531942606786,-3.3230619342896572,1,2024-12-01,2025-08-01,2025-08-01,4
CPI,cpi_target_6,6,ElasticNet,post,0.09742410470854956,0.09742410470854956,0.6497087539450681,1,2024-12-01,2025-08-01,2025-08-01,4
CPI,cpi_target_6,6,Huber,post,0.4605990735472205,0.4605990735472205,-6.82965376302576,1,2024-12-01,2025-08-01,2025-08-01,4
CPI,cpi_target_6,6,RandomForest,post,0.43168738096158865,0.43168738096158865,-5.8775719814045235,1,2024-12-01,2025-08-01,2025-08-01,4
