target,target_col,horizon,model,regime,term,coefficient,std_error,t_value,p_value,row_count,r_squared
CPI,cpi_target_6,6,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio_x_post,0.36271309464603796,0.27594769516128376,1.3144269765835233,0.18870255717505968,45,0.8584356653144917
CPI,cpi_target_12,12,Pooled Interaction,Pre/Post Pooled,const,0.32658425075263076,0.14624369044265506,2.233151049211868,0.02553898512520927,40,0.8505920713668893
CPI,cpi_target_12,12,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio,0.172154035633182,0.09357627244972498,1.8397188852085755,0.06580951947510265,40,0.8505920713668893
CPI,cpi_target_12,12,Pooled Interaction,Pre/Post Pooled,cpi_target_12_lag,0.7863217322340953,0.08296809289271213,9.477399140063461,2.606997787947851e-21,40,0.8505920713668893
CPI,cpi_target_12,12,Pooled Interaction,Pre/Post Pooled,fed_funds,0.07641722805616902,0.02815362306058638,2.7142946359592774,0.006641706588071451,40,0.8505920713668893
CPI,cpi_target_12,12,Pooled Interaction,Pre/Post Pooled,hy_oas,-0.00463441970825338,0.013759526246935227,-0.33681535432847065,0.7362560976262187,40,0.8505920713668893
CPI,cpi_target_12,12,Pooled Interaction,Pre/Post Pooled,post_regime,0.1486096502502371,0.17461929339168947,0.8510494308145549,0.3947418946883072,40,0.8505920713668893
CPI,cpi_target_12,12,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio_x_post,0.10732371887778858,0.5688185917524285,0.18867828941234735,0.8503449684866402,40,0.8505920713668893
PCE,pce_target_3,3,Pooled Interaction,Pre/Post Pooled,const,0.569699871965922,0.37744662785347705,1.5093521306728344,0.1312088192153153,28,0.4501887615067419
PCE,pce_target_3,3,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio,-0.35210721015675006,0.3373527073321641,-1.0437361328482193,0.2966074876490249,28,0.4501887615067419
PCE,pce_target_3,3,Pooled Interaction,Pre/Post Pooled,pce_target_3_lag,0.6757731478556855,0.1590236270929005,4.249514114408317,2.1423471055907454e-05,28,0.4501887615067419
PCE,pce_target_3,3,Pooled Interaction,Pre/Post Pooled,fed_funds,0.1475143606852075,0.12362324406997699,1.1932574799744533,0.2327685494444841,28,0.4501887615067419
PCE,pce_target_3,3,Pooled Interaction,Pre/Post Pooled,hy_oas,-0.05294579584192429,0.06160142199335081,-0.8594898320308126,0.3900703273958398,28,0.4501887615067419
PCE,pce_target_3,3,Pooled Interaction,Pre/Post Pooled,post_regime,0.11475780981780936,0.3204119918083693,0.3581570376630699,0.720225796407562,28,0.4501887615067419
PCE,pce_target_3,3,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio_x_post,-15.309345102176692,5.04541422942341,-3.0343088606871915,0.002410874709125768,28,0.4501887615067419
PCE,pce_target_6,6,Pooled Interaction,Pre/Post Pooled,const,-0.13468966012576694,0.24372556428134445,-0.5526283651159712,0.5805179147299795,50,0.9172651574888975
PCE,pce_target_6,6,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio,0.15663237634688848,0.17217769762519117,0.9097135024296651,0.3629736214458269,50,0.9172651574888975
PCE,pce_target_6,6,Pooled Interaction,Pre/Post Pooled,pce_target_6_lag,0.9226378166015514,0.05796214766774173,15.917937028324376,4.758080415335959e-57,50,0.9172651574888975
PCE,pce_target_6,6,Pooled Interaction,Pre/Post Pooled,fed_funds,0.02744519039755377,0.04265671340100508,0.6433967413182634,0.5199666973729419,50,0.9172651574888975
PCE,pce_target_6,6,Pooled Interaction,Pre/Post Pooled,hy_oas,0.07231381092661687,0.034475458327405326,2.0975445849006444,0.035945394715287966,50,0.9172651574888975
PCE,pce_target_6,6,Pooled Interaction,Pre/Post Pooled,post_regime,-0.1770771192318802,0.2475157887594153,-0.7154174694043405,0.47435112104197574,50,0.9172651574888975
PCE,pce_target_6,6,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio_x_post,1.0585267960420883,0.528201197590099,2.004021953891023,0.045067708758354044,50,0.9172651574888975
PCE,pce_target_12,12,Pooled Interaction,Pre/Post Pooled,const,-0.0194491218860407,0.05433367384790143,-0.357957055149362,0.7203754519325367,44,0.9457730525965575
PCE,pce_target_12,12,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio,0.1444949954924919,0.07035734289509342,2.0537301374206485,0.04000181796282501,44,0.9457730525965575
PCE,pce_target_12,12,Pooled Interaction,Pre/Post Pooled,pce_target_12_lag,0.9333439209781107,0.030776777992136167,30.326238868038466,5.170233183261244e-202,44,0.9457730525965575
PCE,pce_target_12,12,Pooled Interaction,Pre/Post Pooled,fed_funds,-0.018806295480768447,0.0278974934219315,-0.6741213339971237,0.5002341771632373,44,0.9457730525965575
PCE,pce_target_12,12,Pooled Interaction,Pre/Post Pooled,hy_oas,0.030757189210104147,0.01598002102648901,1.9247277058722274,0.0542634324625178,44,0.9457730525965575
PCE,pce_target_12,12,Pooled Interaction,Pre/Post Pooled,post_regime,0.6859005417118664,0.14948762124836185,4.588343409199729,4.467772517801741e-06,44,0.9457730525965575
PCE,pce_target_12,12,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio_x_post,-2.069707483012781,0.3344794023121379,-6.187847349360303,6.099134651962568e-10,44,0.9457730525965575
