target,target_col,horizon,model,mae_Default,mae_Tuned,oos_r2_vs_persistence_Default,oos_r2_vs_persistence_Tuned,rmse_Default,rmse_Tuned,rmse_gain,mae_gain,oos_r2_gain
Wage,wage_target_3,3,Lasso,1.1716106619048825,1.2678313398480983,-1.16278810473657,-1.3246912960776451,1.4870124873175101,1.5416659277294766,-0.054653440411966514,-0.09622067794321576,-0.16190319134107511
Wage,wage_target_3,3,Ridge,0.8640913574113558,0.9633403234981922,-0.4336947046023609,-0.5967469191333581,1.2106984042436084,1.2776905210308362,-0.06699211678722783,-0.09924896608683642,-0.16305221453099716
Wage,wage_target_3,3,Huber,0.8679635206262806,0.9335490661605027,-0.48229548905215736,-0.7438423228791051,1.2310481019864896,1.3352458482860297,-0.10419774629954004,-0.06558554553422213,-0.26154683382694777
Wage,wage_target_3,3,ElasticNet,1.0875307970793116,1.2341251761448389,-0.8849795427771863,-1.2873938986769198,1.3882284805923601,1.5292486598779416,-0.14102017928558142,-0.1465943790655273,-0.4024143558997335
Wage,wage_target_6,6,RandomForest,1.182163173015882,1.0202199995258039,0.7043971418108494,0.78439878004833,1.4985148460397013,1.2797712290259302,0.2187436170137711,0.16194317349007803,0.08000163823748052
Wage,wage_target_6,6,Lasso,0.775513465739291,0.7726228454456479,0.8666232553410611,0.8715612341688751,1.0065765120267671,0.9877676470471507,0.018808864979616424,0.0028906202936431757,0.0049379788278139936
Wage,wage_target_6,6,ElasticNet,0.7554216545855048,0.7668842984825217,0.8755033639193174,0.874449554952516,0.972490894979078,0.9765980746039142,-0.004107179624836199,-0.0114626438970169,-0.0010538089668014061
Wage,wage_target_6,6,Huber,0.9135514249912032,0.9696324405249318,0.7655882073036278,0.7388851900318316,1.3344320481210772,1.4083885573504904,-0.07395650922941321,-0.05608101553372857,-0.026703017271796137
Wage,wage_target_6,6,GradientBoosting,1.3241823970552962,1.5215709307511303,0.6255206547899637,0.554141434105528,1.6866332971768754,1.8403706257462549,-0.1537373285693795,-0.1973885336958341,-0.0713792206844357
Wage,wage_target_6,6,Ridge,0.6101547592772056,0.8154796196115869,0.9158173025179903,0.8626168829041158,0.7996835352179884,1.0215824380772112,-0.22189890285922276,-0.20532486033438124,-0.05320041961387456
Wage,wage_target_12,12,GradientBoosting,1.6882440539955672,1.1486016018744158,-2.4270693876644027,-0.4362369210886474,2.1495908387798868,1.391577496750015,0.7580133420298718,0.5396424521211514,1.9908324665757553
Wage,wage_target_12,12,Ridge,0.48452133265416625,0.31432910396430314,0.7724296815772034,0.8469235652641283,0.5539265253654554,0.4543060527856308,0.09962047257982459,0.1701922286898631,0.07449388368692489
Wage,wage_target_12,12,Huber,0.6087833329168958,0.587603897694946,0.390947031336241,0.48047622386181765,0.9061954680307752,0.8369452861683361,0.06925018186243914,0.02117943522194976,0.08952919252557667
Wage,wage_target_12,12,ElasticNet,0.40706202820636234,0.3498665279876501,0.7500074114691442,0.8021588537850588,0.5805744513404475,0.5164789947951498,0.06409545654529769,0.057195500218712225,0.05215144231591462
Wage,wage_target_12,12,RandomForest,1.0902252194009663,1.0559336885487185,-0.2652400571462512,-0.15474653227070778,1.3061132049995576,1.247779042660466,0.05833416233909161,0.03429153085224779,0.11049352487554343
Wage,wage_target_12,12,Lasso,0.41315304685025134,0.41315304685025134,0.7444122652949308,0.7444122652949308,0.5870354903073849,0.5870354903073849,0.0,0.0,0.0
